	Facility #	Facility Name	Facility Name Overflow	Facility Street	Owner Name 	Owner Name Overflow	Original Issuance Date	Last Renewal Date	Expiration Date	Facility Zip Code
173	3010038	QUAIL AUTO SALES    	                    	49 QUAIL ST         	JOHN AIDALA         	                    	05/05/1980	04/24/2020	05/31/2022	12206
174	7108708	R A AUTO REPAIR AND 	SERVICE INC         	505 WASHINGTON AVE  	RAJA ALI            	                    	07/29/2009	05/14/2019	06/30/2021	12206
175	3010552	RALPH KAISERS       	TRANSMISION SERV INC	1 ALTA RD           	DREW M HAAR         	                    	05/30/1980	04/25/2014	05/31/2016	12205
176	7126504	RAYNO AUTOMOTIVE INC	                    	709 THIRD ST        	CLINTON FLUEGGE     	                    	12/23/2019		11/30/2021	12206
177	7036352	R&D AUTOMOTIVE      	                    	16 TIVOLI ST        	RICHARD D DOBUSH    	                    	09/18/1986	09/01/2020	08/31/2022	12207
178	7036049	RHOADES SERVICE     	CENTER              	1904 WESTERN AV     	HERBERT E RHOADES   	                    	08/27/1986	07/26/2016	07/31/2018	12203
179	7119288	RICK AND SONS INC   	                    	347 WASHINGTON AVE  	ENRIQUE ROBLES      	                    	04/08/2015		03/31/2017	12206
180	7090832	ROBERTS TOWING AND  	RECOVERY SPECIALISTS	722 SOUTH PEARL ST  	WARRENSBURG         	MANAGEMENT CORP THE 	09/28/2001	06/27/2019	08/31/2021	12202
181	7117422	RUDYS ROADSIDE      	AUTOCARE            	325 NEW SCOTLAND AVE	CHARLES J KRASUCKI  	                    	04/10/2014	02/23/2018	03/31/2020	12208
182	3010328	RYDER TRUCK RENTAL  	INC                 	10 ERIE BLVD        	DONALD W ESTES      	                    	04/30/1980	05/06/2020	05/31/2022	12204
183	7109163	SAFELITE AUTO GLASS 	                    	1981 WESTERN AVENUE 	SAFELITE FULFILLMENT	INC                 	10/22/2009	12/17/2013	09/30/2015	12203
184	3010090	SAMS SERVICE GARAGE 	INC                 	493 S PEARL ST      	MICHAEL J PELERSI   	                    	04/29/1980	04/24/2020	05/31/2022	12202
185	7032878	SCHAAP MOVING       	SYSTEMS INC         	6 BROWN RD          	THEODORE L SCHAAF   	                    	07/23/2009	01/13/2020	12/31/2021	12205
186	7116799	SCHOOLHOUSE AUTO    	                    	251 SCHOOLHOUSE RD  	REVOLUTIONARY MOTORS	INC                 	10/24/2013	07/31/2019	09/30/2021	12203
187	7119779	SEARS OPERATIONS LLC	                    	1425 CENTRAL AVENUE 	SCOTT E HUCKINS     	                    	07/24/2015		06/30/2017	12205
188	3010189	SEARS ROEBUCK & CO  	                    	1425 CENTRAL AV     	SEARS ROEBUCK & CO  	                    	05/19/1980	05/02/2014	05/31/2016	12205
189	7054008	SECOND AVE AUTO CARE	INC                 	105 SECOND AVE      	NICHOLAS B FERRARA  	                    	01/31/1991	12/18/2018	12/31/2020	12202
190	7079338	SERGO AUTO LLC      	                    	183 SPRING ST       	ANATOLIY SANDUL     	                    	07/28/1999	06/12/2019	08/31/2021	12203
191	7107582	SHERIDAN AVENUE     	GARAGE LLC          	391 SHERIDAN AVE    	NATHANIEL D         	QUATTLEBAUM         	01/09/2009	12/10/2014	12/31/2016	12206
192	7113527	SHERMAN AUTO REPAIR 	                    	199 SHERMAN STREET  	ELSADIG ABDELRAHMAN 	                    	01/30/2012	12/12/2013	12/31/2015	12206
193	7108387	SOS TRUCK BODY      	REPAIR INC          	18 WALKER WAY       	ROXANNE M TOUTAI    	                    	05/26/2009	04/19/2017	04/30/2019	12205
194	3010126	SPITZIES MOTORCYCLE 	CTR INC             	1970 CENTRAL AVE    	BRYAN D CASTOR      	                    	05/05/1980	06/01/2020	05/31/2022	12205
195	7095139	STS TRUCK EQUIPMENT&	TRAILER SALES       	1912 CENTRAL AVE    	SYRACUSE TRAILER    	SALES SVC LEASNG INC	07/03/2003	06/26/2019	06/30/2021	12205
196	7112124	SUPER AUTO CARE     	SERVICE INC         	2067 CENTRAL AVENUE 	JAAFIR KHAN         	                    	05/27/2011	02/14/2019	04/30/2021	12205
197	7034747	TED VANGALEN BODY   	SHOP                	116 WEST ST         	THEODORE VANGALEN   	                    	05/16/1986	03/20/2020	04/30/2022	12206
198	3010252	TERRY HAGGERTY TIRE 	CO INC              	980 BROADWAY        	THOMAS TERRY        	                    	05/13/1980	04/24/2014	05/31/2016	12204
199	7000185	THOMPSONS GARAGE    	                    	504 YATES ST        	JOHN GARY KUBISCH   	                    	03/17/1981	01/25/2019	02/28/2021	12208
200	7094515	TOP NOTCH AUTO CARE 	INC                 	38 B YARDBORO AV    	THOMAS J HOTALING   	                    	04/04/2003	03/27/2015	03/31/2017	12205
201	7076202	TRACEY FREIGHTLINER 	OF ALBANY INC       	PB5306 115 RAILRD AV	GERALD W TRACEY     	                    	10/18/1996	08/19/2020	09/30/2022	12205
202	7088070	TYLER FIRE EQUIPMENT	SERVICE CORP        	1332 BROADWAY       	WAYNE E TYLER       	                    	08/18/2000	07/01/2014	07/31/2016	12204
203	7103326	UPSTATE THERMO KING 	                    	9 NORMAN DR         	GLK ENTERPRISES INC 	                    	01/26/2007	11/07/2018	12/31/2020	12205
204	7091163	UTICA GENERAL TRUCK 	CO INC              	65 RAILROAD AVE     	MARK N DONNENWIRTH  	                    	11/14/2001	10/04/2019	10/31/2021	12205
205	7090248	VALVOLINE INSTANT   	OIL CHANGE          	1614 CENTRAL AVE    	GALENA ASSOCIATES   	LLC                 	09/14/2001	08/11/2017	08/31/2019	12205
206	7082026	VALVOLINE INSTANT   	OIL CHANGE          	924 CENTRAL AV      	GALENA ASSOCIATES   	LLC                 	07/24/1998	06/09/2020	06/30/2022	12206
207	7087896	VENNARDS SERVICE    	CENTER INC          	435 N PEARL ST      	MICHAEL A VENNARD   	                    	07/18/2000	05/04/2020	06/30/2022	12204
208	3010370	VILLAGE AUTO BODY   	SHOP INC            	1691 CENTRAL AV     	SEBASTNO CANNISTRACI	                    	05/24/1994	07/29/2019	07/31/2021	12205
209	3010724	VINCES GARAGE &     	SUPPLY INC          	40 WATERVLIET AV    	VINCENT F FILIPPELLO	                    	01/09/1980	10/30/2019	12/31/2021	12206
210	7122087	WALLACE AUTO CARE   	                    	1436 WESTERN AVE    	STEPHEN P WALLACE   	                    	03/09/2017	02/27/2019	02/28/2021	12203
211	3010269	WATKINS SPRING CO   	INC                 	368 CENTRAL AV      	THOMAS J KINGSTON   	                    	05/23/1980	04/14/2020	05/31/2022	12206
212	7118115	WINDSHIELD CENTERS  	INC                 	2041 CENTRAL AVENUE 	ROBERT J ROSENFIELD 	                    	07/18/2014		06/30/2016	12205
213	7122060	YARDBORO AUTO CARE  	                    	38 B YARDBORO AVE   	THOMAS J HOTALING   	                    	03/02/2017		02/28/2019	12205
214	7061563	VITETTAS AUTO SALES 	                    	2178 STATE RTE 143  	JOSEPH VITETTA ETAL 	                    	10/07/1993	12/05/2018	12/31/2020	12007
215	7117446	ALTAMONT AUTO AND   	LIGHT TRUCK         	974 ALTAMONT BLVD   	WALTER W JOHNSON    	ET AL               	03/06/2014	05/17/2016	02/28/2018	12009
216	7022514	ALTAMONT GLASS &    	MIRROR CO INC       	POB 650 100 MAIN ST 	WILLIAM H BUCHANAN  	                    	08/23/1983	06/26/2015	07/31/2017	12009
217	7064529	AUTO COSMETICS OF   	ALBANY INC          	98 MAIN ST PO BX 346	ROBERT W VARSANYI   	                    	10/21/1993	07/30/2019	09/30/2021	12009
218	7079020	BILLS FOREIGN CARS  	                    	24 AGAWAN LN        	WILLIAM H BLIZZARD  	ETAL                	10/16/1997	09/28/2015	09/30/2017	12009
219	7112721	CAPITAL REGION      	CUSTOMS             	230 WESTERN TURNPIKE	CHRISTOPHER J MORAN 	                    	08/25/2011	08/13/2013	07/31/2015	12009
220	7111214	JAKES TOWING &      	RECOVERY INC        	5775 OSTRANDER RD   	GERALD W HACKSTADT  	                    	11/04/2010	10/26/2020	10/31/2022	12009
221	3010275	JOHN FOLEYS GARAGE  	INC                 	BX311A 5859 DEPOT RD	JOHN W FOLEY        	                    	04/30/1980	04/24/2020	05/31/2022	12009
222	7066886	LORDAN FARMS        	                    	4178 WESTERN TPK    	DANIEL A DAVENPORT  	ETAL                	06/01/1994	05/24/2018	05/31/2020	12009
223	7122717	NEWCOMB FAMILY AUTO 	                    	4449 WESTERN TRNPK  	STARLENE NEWCOMB    	                    	08/22/2017		07/31/2019	12009
224	7120493	UPSTATE COLLISION   	AND CUSTOMS         	230 WESTERN TURNPIKE	JASON TOOLEY        	                    	01/20/2016		12/31/2017	12009
225	7110648	VALLEY AUTO REPAIRS 	                    	3630 WESTERN TPKE   	ROBERT V VANWORMER  	                    	07/19/2010	06/18/2020	06/30/2022	12009
226	7093814	VALVOLINE INSTANT   	OIL CHANGE          	2446 WESTERN AV     	GALENA ASSOCIATES   	LLC                 	12/13/2002	10/20/2020	11/30/2022	12009
227	7102706	MARKS AUTO REPAIR   	                    	2915 BERNE ALT RD   	MARK ANTHONY DIBBLE 	SR                  	10/11/2006	09/09/2016	09/30/2018	12023
228	7115533	MISFIT CYCLES       	                    	4 TURNER ROAD       	ALAN M SKINNER      	                    	04/09/2013	03/07/2019	03/31/2021	12023
229	7043975	PRITCHARD           	ENTERPRIZES         	159 KNOX GALPVLE RD 	KARL L PRITCHARD    	                    	01/12/1990	04/24/2020	05/31/2022	12023
230	7081973	J&S RECONDITIONING  	                    	2054 DELAWARE TPKE  	STEVEN J CROOKES    	                    	07/02/1998	07/01/2020	06/30/2022	12041
231	7115863	A2Z CYCLES          	                    	15 ST AGNES HIGHWAY 	AMANDA M ANDRITZ    	                    	05/02/2013		04/30/2015	12047
232	7118022	BAZARS AUTOBODY AND 	SALES               	160 VLIET BLVD      	BAZARS AUTOBODY LLC 	                    	07/03/2014	05/04/2020	06/30/2022	12047
233	3010179	BERDAR AUTO SERVICE 	INC                 	116 SARATOGA ST     	DAVID BERDAR        	                    	05/14/1980	05/13/2020	05/31/2022	12047
234	3010556	BEST BODY           	                    	140 DUNSBACK FRRY RD	SAMUEL DISIBIO      	                    	09/25/1979	09/09/2019	09/30/2021	12047
235	7126942	BLAINS BAY MARINA   	                    	221 DUNSBCH FERRY RD	J & A MARINE LLC    	                    	06/05/2020		05/31/2022	12047
236	7041812	CDT AUTOMOTIVE      	                    	576 SARATOGA ST     	WILLIAM H MERO ETAL 	                    	12/31/1987	09/26/2019	11/30/2021	12047
237	7066648	CRUMPS GARAGE&DIESEL	SERVICE INC         	1100 LOUDON RD      	DAVID CRUMP         	                    	05/31/1994	03/13/2020	04/30/2022	12047
238	7041554	DONS GARAGE OF      	COHOES INC          	198 VLIET BLVD      	CHRISTOPHER L MILLER	                    	12/10/1987	11/20/2019	11/30/2021	12047
239	7095443	D&S AUTO REPAIR AND 	TRUCK CENTER INC    	19 SAINT AGNES HWY  	DAVID PLASSE        	                    	08/12/2003	07/31/2019	07/31/2021	12047
240	3010677	DUNCANS AUTOMOTIVE  	SERV                	60 GARNER ST        	WILLIAM DUNCAN      	                    	03/06/1981	02/06/2013	02/28/2015	12047
241	7098007	ED COMTOIS & SON    	AUTO SALES INC      	109 ONTARIO ST      	EDWARD F COMTOIS    	                    	09/27/2004	09/01/2020	08/31/2022	12047
242	7059906	FRANKLYN WHOLESALERS	                    	231 SARATOGA ST     	FRANK W LEWANDUSKY  	                    	08/18/1992	07/27/2020	07/31/2022	12047
243	3010753	GEORGES COLLISION   	SHOP                	2 PINE ST           	SMART CAR MOTORS INC	                    	07/18/1980	07/14/2020	06/30/2022	12047
244	7083009	GERARDS AUTOSTOP INC	                    	218 COLUMBIA ST     	DONALD F BAILEY JR  	                    	10/28/1998	09/19/2016	09/30/2018	12047
245	7121059	GNG AUTOMOTIVE      	                    	60 GARNER ST        	KATIE L CLARK       	                    	06/07/2016	06/08/2018	05/31/2020	12047
246	7100151	IZZO FAMILY         	AUTOMOTIVE CENTER   	167 SARATOGA ST     	MICHAEL IZZO ETAL   	                    	08/19/2005	07/31/2019	07/31/2021	12047
247	7075660	J&D AUTOMOTIVE&     	PERFORMANCE INC     	191 MAIN ST         	JEROME K POWERS     	                    	08/29/1996	07/27/2020	07/31/2022	12047
248	7058727	LAJEUNESSE AUTO     	SERVICE             	122 BRESLIN AV      	WAYNE LAJEUNESSE    	                    	05/13/1992	05/01/2020	04/30/2022	12047
249	3010096	LANGLEYS SERVICE    	STATION INC         	240 REMSEN ST       	DEREK J LANGLEY     	                    	05/05/1980	05/29/2014	05/31/2016	12047
250	3010282	LEPAGE & SONS GARAGE	                    	98 VAN SCHAICK AV   	RAYMOND J LEPAGE    	                    	06/04/1980	05/06/2020	05/31/2022	12047
251	7056522	LIA INFINITI        	                    	965 NEW LOUDON ROAD 	INFINITI OF ALBANY  	INC                 	10/02/1991	07/30/2019	09/30/2021	12047
252	7043257	MENDOZAS AUTO INC   	                    	100 NORTH MOHAWK ST 	ARNOLD A MENDOZA    	                    	04/19/1988	03/09/2020	03/31/2022	12047
253	7028616	PRIMEAUS AUTO BODY  	                    	9 HIGH ST           	PRIMEAUS INC        	                    	01/11/1985	12/13/2018	12/31/2020	12047
254	3010320	SEYMOURS MOTORIZED  	SPORTS INC          	1350 NW LOUDN RD RT9	JOHN T SEYMOUR      	                    	06/02/1980	04/22/2020	05/31/2022	12047
255	7100495	STEPHEN HEPPS AUTO  	SERVICE             	122 ONTARIO ST      	STEPHEN HEPP        	                    	10/06/2005	08/05/2019	09/30/2021	12047
256	7047067	T&T INC OF NEW YORK 	                    	74 MAIN ST          	THOMAS A BRENNAN    	                    	01/28/2000	03/04/2019	02/28/2021	12047
257	7124149	CALIBER COLLISION   	CENTERS             	1615 CENTRAL AVE    	CALIBER BODYWORKS   	OF NEW YORK LLC     	07/18/2018	04/16/2020	06/30/2022	12205
258	7122257	CAPITAL TINT AND    	GRAPHICS LLC        	1991 CENTRAL AVENUE 	MARILYN H OTTO      	                    	05/04/2017	04/02/2019	04/30/2021	12205
259	7109243	H&V AUTO BODY INC   	                    	1615 CENTRAL AVENUE 	VARTAN JERIAN       	                    	11/05/2009	09/15/2017	10/31/2019	12205
260	7093113	LABARGES TIRE & AUTO	SERVICE             	1117A CENTRAL AV    	THE DANIMAL         	CORPORATION         	08/26/2002	08/03/2020	07/31/2022	12205
261	7124315	MAVIS DISCOUNT TIRE 	                    	1894 CENTRAL AVENUE 	MAVIS TIRE SUPPLY   	LLC                 	08/09/2018	07/24/2020	07/31/2022	12205
262	7078608	MIDAS SHOPS         	                    	1722 CENTRAL AVE    	CENTRAL POINT INC   	                    	06/30/1997	04/29/2019	05/31/2021	12205
263	3010594	MONRO MUFFLER BRAKE 	                    	1550 CENTRAL AV     	MONRO INC           	                    	01/15/1980	01/31/2020	01/31/2022	12205
264	7087683	ROCKWELLS AUTOBODY  	DETAILING           	97-99 MORRIS RD     	MARK S ROCKWELL     	                    	01/11/2005	12/08/2016	12/31/2018	12304
265	7094312	UNICELL BODY CO INC 	                    	170 CORDELL RD      	ROGER J MARTIN      	                    	03/07/2003	02/01/2019	02/28/2021	12303
266	7122063	AYERS AUTOMOTIVE INC	                    	115 ADAMS ST        	JANINE E MANGIONE   	                    	03/02/2017	01/07/2019	02/28/2021	12054
267	7104567	BAILEYS GARAGE      	                    	23 OAKWOOD RD       	ROBERT A BUTTERCASE 	                    	08/09/2007	07/30/2019	07/31/2021	12054
268	7083653	COLLISION RECOVERY  	INC                 	90 ADAMS ST         	CHRISTOPHER M       	WILLIAMS            	01/25/1999	11/13/2012	12/31/2014	12054
269	7042266	DAVES GLASS INC     	                    	160 DELAWARE AVE    	ALICE M PALMER      	                    	12/11/1997	09/25/2015	11/30/2017	12054
270	7009554	DELMAR AUTO RADIATOR	                    	90 ADAMS ST         	DOUGLAS J SHANLEY   	                    	03/23/1983	02/26/2013	02/28/2015	12054
271	3010001	GOCHEES GARAGE INC  	                    	329 DELAWARE AVE    	HARRY GOCHEE        	                    	05/21/1980	04/22/2020	05/31/2022	12054
272	7032309	GR AUTO REPAIR SHOP 	INC                 	115 ADAMS ST        	GEORGE RUBINCHUK    	                    	11/13/1985	10/07/2015	10/31/2017	12054
273	7035635	H LOUCKS BODY & FNDR	WORKS INC           	814 DELAWARE AVE    	CURTIS H LOUCKS     	                    	07/23/1986	05/01/2020	06/30/2022	12054
274	7093374	JIFFY LUBE DELMAR   	                    	55 DELAWARE AV      	JIFFY LUBE DELMAR   	LLC                 	10/04/2002	07/10/2020	09/30/2022	12054
275	7026379	JIMS GARAGE         	                    	1379 DELAWARE TPK   	KEITH J FLANSBURG   	                    	06/19/1984	05/28/2018	05/31/2020	12054
276	7088449	MIKES 4WD           	PERFORMANCE & REPAIR	14 GROVE ST         	MICHAEL C VERHAGEN  	                    	09/29/2000	11/02/2016	08/31/2018	12054
277	7082171	VALVOLINE INSTANT   	OIL CHANGE          	220 DELAWARE AVE    	GALENA ASSOCIATES   	LLC                 	07/24/1998	06/09/2020	06/30/2022	12054
278	7113982	JOE JOHNSON         	EQUIPMENT USA INC   	1373 INDIAN FILDS RD	JOSEPH M JOHNSON    	                    	05/01/2012	05/05/2016	04/30/2018	12067
279	7106236	MCCARTHY TIRE       	SERVICE CO OF NY INC	1373 INDIAN FIELD RD	JOHN D MCCARTHY     	                    	05/29/2008	03/24/2014	04/30/2016	12067
280	7028698	ZABELS AUTO REPAIR  	                    	127 ZABEL HILL RD   	WILLIAM G ZABEL JR  	ET AL               	01/23/1985	01/02/2019	12/31/2020	12067
281	7091816	PAUL SPAGNOLA MOBILE	REPAIR              	1389INDIAN FIELDS RD	PAUL SPAGNOLA       	                    	03/25/2002	01/29/2020	02/28/2022	12067
282	7120714	A&D AUTO SALES AND  	REPAIR              	126 JEFFERSON ROAD  	STEEL WORLD USA INC 	                    	03/02/2016		02/28/2018	12077
283	7078207	BETHLEHEM AUTO      	SERVICE LLC         	62 HANNAY LANE      	JOHN L QUIRK        	                    	05/07/1997	04/01/2019	04/30/2021	12077
284	7120336	BMW OF SOUTH ALBANY 	                    	617 ROUTE 9W        	ALBANYB LLC         	                    	12/11/2015	10/15/2019	11/30/2021	12077
285	7119668	BUFFO MATIC II INC  	                    	26 PLANK ROAD       	SHAWN W BUFFO       	                    	07/10/2015	06/14/2019	06/30/2021	12077
286	7065664	BUFFOMATIC II INC   	                    	26 RT 9W            	SHAWN W BUFFO       	                    	03/03/1994	02/27/2020	02/28/2022	12054
287	3010281	CAPITAL CITIES      	IMPORTED CARS INC   	POBOX128 617 RTE 9W 	MARY M LANGAN       	                    	05/19/1980	05/21/2014	05/31/2016	12077
288	7022891	DEMARTINI OIL EQUIP 	SERV INC            	214 RIVER RD        	JAMES DEMARTINI     	                    	11/17/1992	09/21/2018	10/31/2020	12077
289	7001547	GEIST BROTHERS AUTO 	BODY SHOP INC       	43 FRONTAGE RD      	KARL W GEIST        	                    	08/18/1981	06/28/2019	07/31/2021	12077
